Фраза,"Потрачено, руб,",Показы,Переходы,"CTR, %","eCPM, руб","eCPC, руб",Вступления,Заявки,Конверсии,Сообщения,Ценность конверсии
картины,"143,43",4781,4,"0,08","30,00","35,85",0,0,0,0,"0,00"
арктик arctic,"6,68",217,0,"0,00","30,78","0,00",0,0,0,0,"0,00"
искусство картины,"11,13",365,0,"0,00","30,49","0,00",0,0,0,0,"0,00"
животные полюсов,"0,11",3,0,"0,00","36,66","0,00",0,0,0,0,"0,00"
арктика,"190,50",6255,13,"0,20","30,45","14,65",0,0,0,0,"0,00"
антарктика фото,"1,19",39,0,"0,00","30,51","0,00",0,0,0,0,"0,00"
искусства,"46,44",1548,1,"0,06","30,00","46,44",0,0,0,0,"0,00"
антарктида россия,"3,67",122,0,"0,00","30,08","0,00",0,0,0,0,"0,00"
arktika,"0,06",2,0,"0,00","30,00","0,00",0,0,0,0,"0,00"
живопись,"91,58",3021,5,"0,16","30,31","18,31",0,0,0,0,"0,00"
рисунок маслом,"0,06",2,0,"0,00","30,00","0,00",0,0,0,0,"0,00"
картина маслом,"18,04",592,1,"0,16","30,47","18,04",0,0,0,0,"0,00"
южному полюсу,"4,07",133,0,"0,00","30,60","0,00",0,0,0,0,"0,00"
пейзаж,"29,46",982,2,"0,20","30,00","14,73",0,0,0,0,"0,00"
натюрморты маслом,"0,12",4,0,"0,00","30,00","0,00",0,0,0,0,"0,00"
zhivopis,"0,06",2,0,"0,00","30,00","0,00",0,0,0,0,"0,00"
цветы маслом,"0,27",9,0,"0,00","30,00","0,00",0,0,0,0,"0,00"
передвижники,"0,75",25,0,"0,00","30,00","0,00",0,0,0,0,"0,00"
антарктида арктика,"1,44",48,0,"0,00","30,00","0,00",0,0,0,0,"0,00"
арктика антарктика,"2,92",96,1,"1,04","30,41","2,92",0,0,0,0,"0,00"
арктика экспедиция,"3,25",105,0,"0,00","30,95","0,00",0,0,0,0,"0,00"
